"Item#","Year","Make","Model","Mi/Hr","VIN","Score","Online Bid","Vehicle Doc"
"","2024","KAWASAKI","KVF750MRFNN BRUTE FORCE 750","OHV1337","JKAVFDM14RB500317","78","","NV TITLE"
"","2023","KAWASAKI","VULCAN S CAFÉ","247","JKAENEL10PDA00573","","","TITLE CMG"
"","2025","KAWASAKI","ZX636KSFAL NINJA ZX-6R","1734","JKBZXJK1XSA007796","80","","SALE DOCS"
"","2018","KAWASAKI","VN1700BJF VULCAN 1700 VOYAGER ABS","70918","JKBVNRB16JA017162","74","","TITLE CMG"
"","2022","KAWASAKI","EN650CNFAN VULCAN S","183","JKAENEC19NDA04604","","","CA TITLE"
"","2010","KAWASAKI","ZR1000DAF Z1000","ODO","JKAZRCD12AA000248","73","","CA TITLE"
"","2021","SEADOO/BRP","GTI SE 170 SOUND SYSTEM","33HR","YDV39327A121","80","","TCMG"
"","2023","CAN-AM","RENEGADE 110 EFI","OHV","RF39GA941NT000513","82","","AZ TITLE"
"","2023","KAWASAKI","ZX636HPFNN NINJA ZX-6R","7971","JKBZXJH10PA015078","73","","SALE DOCS"
"","2023","KAWASAKI","KRT1000CPFNN TERYX KRX4 1000 SE","OHV4686","JKARTCC15PB500717","74","","SALE DOCS"
"","2018","KAWASAKI","EX650KJF NINJA 650 ABS","7941","JKAEXEK17JDA25375","74","","SALE DOCS"
"","2022","CAN-AM","RYKER 900 SPORT",".8","3JB2JEG20NJ002026","88","","CA TITLE"
"","2009","KAWASAKI","ZG1400A9F CONCOURS 14ABS","ODO","JKBZGNA159A020751","74","","AZ TITLE"
"","2017","KAWASAKI","KAF1000CHF MULE PRO DXT EPS LIMITED EDITION","OHV7502","JKAAFCC15HB500920","56","","AZ TITLE"
"","2025","KAWASAKI","KLX300GSFNL KLX 300SM","1234","ML5LXBG12SDA41421","84","","SALE DOCS"
"","2022","KAWASAKI","EX400HNFNN NINJA 400","8389","JKAEXKH14NDAH5108","","","AZ TITLE"
"","2022","POLARIS","SLINGSHOT R AUTODRIVE","1755","57XAARHB7N8148786","","","SALE DOCS"
"","2023","KAWASAKI","EN650CPFNN VULCAN S","7016","JKAENEC13PDA08845","80","","TITLE CMG"
"","2025","CAN-AM","MAVERICK X3 MAX DS TURBO (RED & SILVER)","OHV1301","3JBVMAY23SE000139","79","","CA TITLE CMG"
"","2020","CAN-AM","MAVERICK X3 X RS TURBO RR","OHV2612","3JBVXAV25LK000772","73","","SALE DOCS"
"","2023","POLARIS","RZR TURBO R 4 SPORT","OHV354","3NSG4E929PG321415","78","","SALE DOCS"
"","2008","KAWASAKI","EX250J8F NINJA 250R","16034","JKAEXMJ198DA11726","","","TITLE CMG"
"","2022","CAN-AM","RYKER 600 ACE","2195","3JB2FEF28NJ000057","75","","CA TITLE"
"","2023","KAWASAKI","EX400HPFNN NINJA 400","259","JKAEXKH1XPDAK8155","","","SALE DOCS"
"","2024","POLARIS","XPEDITION XP 5 ULTIMATE","OHV3520","3NSG5K994RM121202","74","","AZ TITLE"
"","2020","KAWASAKI","ZG1400ELF CONCOURS 14 (ABS)","11152","JKBZGNE14LA013341","","","TITLE CMG"
"","2024","KAWASAKI","BR125JRFNL Z125 PRO","36","JKABRRJ15RDA32665","88","","TITLE CMG"
"","2019","CAN-AM","RYKER 900 ACE","23430","3JB2FEG23KJ000316","78","","CA TITLE"
"","2018","POLARIS","SLINGSHOT S (BLACK)","3875","57XAASFA4J8129463","77","","CA TITLE CMG"
"","2024","KAWASAKI","MULE PRO-FXT 1000 LE CAMO","OHV183","JKAATCB17RB500557","80","","SALE DOCS"
"","2018","POLARIS","RZR XP 1000 (ELECTRIC POWER STEERING)","OHV2702","3NSVDE998JF944378","67","","NV TITLE"
"","2022","CAN-AM","MAVERICK X3 MAX X RS TURBO RR","OHV376","3JBVNAV23NE001703","77","","SALE DOCS"
"","2020","POLARIS","RZR XP 4 TURBO","OHV1363","3NSN4E925LF797295","70","","SALE DOCS"
"","2022","KAWASAKI","BR125JNFNN Z125 PRO","4202","JKABRRJ18NDA23971","71","","SALE DOCS"
"","2018","KAWASAKI","KLX250SJFA KLX 250 CAMO","9070","JKALXMS13JDA27402","","","SALE DOCS"
"","2024","CAN-AM","MAVERICK X3 MAX DS TURBO","OHV587","3JBVMAY20RE000075","71","","CA TITLE"
"","2026","CAN-AM","OUTLANDER MAX LIMITED 1000R","OHV159","3JB3VA742TJ000018","84","","SALE DOCS"
"","2020","CAN-AM","MAVERICK TRAIL DPS 800","OHV7745","3JB1GAN45LK000710","74","","OR TTL CMG"
"","2023","POLARIS","RZR XP 4 1000 ULTIMATE","OHV2720","3NSN4K994PH351502","74","","AZ TITLE CMG"
"","2023","POLARIS","RZR PRO XP ULTIMATE","OHV2082","3NSRAD929PF362595","76","","CA TITLE"
"","2023","KAWASAKI","VERSYS 650 LT","6109","ML5LEEH17PDA11246","78","","TITLE CMG"
"","2017","POLARIS","GENERAL 1000 (ELECTRIC POWER STEERING, WHITE)","OHV4821","3NSRGE99XHH011475","72","","WY TITLE CMG"
"","2020","KAWASAKI","KRF1000ALF TERYX KRX 1000","OHV256","JKARFCA17LB505924","73","","PA KAWASAKI BUYBACK TITLE"
"","2024","KAWASAKI","KL650HRFAL KLR 650 ADVENTURE (ABS)","9328","ML5KLEH14RDA32267","81","","TITLE CMG"
"","2024","POLARIS","XPEDITION XP ULTIMATE","OHV164","3NSG2K991RM396891","79","","TITLE CMG"
"","2022","KAWASAKI","KLX230BNSNN KLX 230","932","MH4LXCB13NJP00027","","","AZ TITLE"
"","2022","KAWASAKI","KLR 650","3412","ML5KLEG1XNDA04999","78","","SALE DOCS"
"","2018","POLARIS","RZR XP 1000 (ELECTRIC POWER STEERING)","OHV10435","3NSVDE996JF407833","67","","SALE DOCS"
"","2025","KAWASAKI","EX500HSFNL NINJA 500","ODO","ML5EXGH19SDA34003","52","","CA TITLE"
"","2023","POLARIS","SPORTSMAN TOURING 570 EPS","OHV","4XASDE576PA136385","82","","AZ TITLE"
"","2023","KAWASAKI","KLE300BPFAL VERSYS-X 300","2704","JKALE8B1XPDA03247","84","","SALE DOCS"
"","2021","KAWASAKI","KRF1000DMFNN TERYX KRX 1000 ES","OHV250","JKARFCD11MB500568","78","","ID TITLE KAWASAKI BUYBACK"
"","2022","POLARIS","RZR XP 4 1000 SPORT","OHV1842","3NSN4E995NH406912","74","","SALE DOCS"
"","2010","POLARIS","RANGER HIGH OUTPUT (ELECTRONIC FUEL INJECTION)","OHV595","4XATH50A3A2161709","","","CA TITLE"
"","2025","KAWASAKI","EX650PSFAL NINJA 650 KRT (ABS)","12671","ML5EXEP12SDAE2770","78","","SALE DOCS"
"","2008","KAWASAKI","VN900B8F VULCAN CLASSIC","8520","JKAVN2B118A033064","64","","TITLE CMG"
"","2012","POLARIS","RANGER RZR 900 XP","OHV4978","4XAJT87A2CB432968","68","","TITLE CMG"
"","2020","KAWASAKI","KRF1000ALF TERYX KRX 1000","OHV316","JKARFCA15LB502794","75","","SALE DOCS"
"","2024","POLARIS","GENERAL XP 4 1000 ULTIMATE","OHV3998","3NSGMK993RH362986","67","","MSO"
"","2019","POLARIS","RZR XP 4 1000 RIDE COMMAND (ELECTRIC POWER STEERING)","OHV7138","3NSVFK99XKH591771","","","CA TITLE"
"6627601","2018","POLARIS","RZR XP 4 TURBO FOX EDITION (ELECTRIC POWER STEERING)","OHV4008","3NSVFE920JF941469","55","$4,200.00","CA TITLE"
"6627610","2021","KAWASAKI","EN650DMFAL VULCAN S (ABS)","8400","JKAENED17MDA27022","79","$3,600.00","CA TITLE"
"6627611","2022","CAN-AM","RYKER 900 RALLY","6189","3JB2HEH21NJ001087","79","$3,800.00","CA TITLE"
"6627612","2024","CAN-AM","MAVERICK R X","OHV637","3JB8LAT21RE000142","79","$17,000.00","CA TITLE"
"6627614","2024","CAN-AM","MAVERICK X3 MAX X RS TURBO RR","OHV329","3JBVNAV28RE000889","80","$17,600.00","AZ TITLE"
"6627615","2023","KAWASAKI","KLE300CPFAL VERSYS-X 300 (ABS)","1045","JKALE8C13PDA16470","82","$1,900.00","AZ TITLE"
"6627617","2023","POLARIS","RZR XP 4 1000 SPORT","OHV2061","3NSN4E996PH432938","70","$7,200.00","NV TITLE"
"6627619","2021","POLARIS","RZR RS1","OHV3643","3NSS1E990MF579890","74","$2,700.00","CA TITLE"
"6627627","1993","SEADOO/BRP","SPX","UNK","ZZN20769K293","61","","CA TITLE"
"6627635","2019","CAN-AM","RYKER 900 RALLY EDITION","421","3JB2GEG44KJ004258","80","$2,000.00","VA TITLE"
"6627689","2017","CAN-AM","COMMANDER MAX 1000 LIMITED","OHV3256","3JBKUAP2XHJ000319","68","$4,000.00","AZ TITLE"
"6627707","2025","KAWASAKI","ZX1400JSFNL NINJA ZX-14R (ABS)","5","JKBZXNJ15SA021260","84","$10,900.00","AZ TITLE"
"6627710","2022","KAWASAKI","ZR900FNFNN Z900 (ABS)","3271","ML5ZRDF14NDA54189","81","$4,900.00","NV TITLE"
"6627712","2015","KAWASAKI","ZX1000MFF Ninja 1000 (ABS)","80897","JKAZXCM11FA005972","73","$2,000.00","NV TITLE"
"6627720","2013","KAWASAKI","VN900CDFA VULCAN CUSTOM","5968","JKAVN2C12DA054076","76","$1,200.00","WA TITLE"
"6627724","2023","CAN-AM","SPYDER RT","1282","2BXNBDD25PV000327","78","","AZ TITLE"
